NAME                                                                          VERSION                                 TYPE                        
brace-expansion                                                               2.0.1                                   npm                          
brace-expansion                                                               5.0.6                                   npm                          
bsdutils                                                                      1:2.39.3-9ubuntu6.5                     deb                          
ca-certificates                                                               20260601~24.04.1                        deb                          
cacache                                                                       18.0.3                                  npm                          
cacache                                                                       20.0.4                                  npm                          
certifi                                                                       2026.7.22                               python                       
chalk                                                                         5.3.0                                   npm                          
chalk                                                                         5.6.2                                   npm                          
charset-normalizer                                                            3.4.9                                   python                       
chownr                                                                        2.0.0                                   npm                          
chownr                                                                        3.0.0                                   npm                          
ci-info                                                                       4.0.0                                   npm                          
ci-info                                                                       4.4.0                                   npm                          
cidr-regex                                                                    4.1.1                                   npm                          
cidr-regex                                                                    5.0.5                                   npm                          
clean-stack                                                                   2.2.0                                   npm                          
cli-columns                                                                   4.0.0                                   npm                          
cloud.google.com/go/auth                                                      v0.16.5                                 go-module                    
cloud.google.com/go/auth/oauth2adapt                                          v0.2.8                                  go-module                    
cloud.google.com/go/compute/metadata                                          v0.8.0                                  go-module                    
cloud.google.com/go/logging                                                   v1.13.0                                 go-module                    
cloud.google.com/go/longrunning                                               v0.6.7                                  go-module                    
cmd-shim                                                                      6.0.3                                   npm                          
cmd-shim                                                                      8.0.0                                   npm                          
code.cloudfoundry.org/clock                                                   v1.37.0                                 go-module                    
color-convert                                                                 2.0.1                                   npm                          
color-name                                                                    1.1.4                                   npm                          
common-ancestor-path                                                          1.0.1                                   npm                          
common-ancestor-path                                                          2.0.0                                   npm                          
containerd                                                                    2.2.1-0ubuntu1~24.04.3                  deb                          
corepack                                                                      0.34.6                                  npm                          
corepack                                                                      0.35.0                                  npm                          
coreutils                                                                     9.4-3ubuntu6.2                          deb                          
cross-spawn                                                                   7.0.3                                   npm                          
cssesc                                                                        3.0.0                                   npm        (+1 duplicate)    
curl                                                                          8.5.0-2ubuntu10.11                      deb                          
dario.cat/mergo                                                               v1.0.2                                  go-module  (+1 duplicate)    
dash                                                                          0.5.12-6ubuntu5                         deb                          
debconf                                                                       1.5.86ubuntu1                           deb                          
debianutils                                                                   5.17build1                              deb                          
debug                                                                         4.3.5                                   npm                          
debug                                                                         4.4.3                                   npm                          
diff                                                                          5.2.0                                   npm                          
diff                                                                          8.0.4                                   npm                          
diffutils                                                                     1:3.10-1build1                          deb                          
docker.io                                                                     29.1.3-0ubuntu3~24.04.2                 deb                          
dpkg                                                                          1.22.6ubuntu6.6                         deb                          
e2fsprogs                                                                     1.47.0-2.4~exp1ubuntu4.1                deb                          
eastasianwidth                                                                0.2.0                                   npm                          
emoji-regex                                                                   8.0.0                                   npm                          
emoji-regex                                                                   9.2.2                                   npm        (+1 duplicate)    
encoding                                                                      0.1.13                                  npm                          
env-paths                                                                     2.2.1                                   npm        (+1 duplicate)    
err-code                                                                      2.0.3                                   npm                          
exponential-backoff                                                           3.1.1                                   npm                          
exponential-backoff                                                           3.1.3                                   npm                          
fastest-levenshtein                                                           1.0.16                                  npm        (+1 duplicate)    
fdir                                                                          6.5.0                                   npm                          
findutils                                                                     4.9.0-5build1                           deb                          
foreground-child                                                              3.2.1                                   npm                          
fs-minipass                                                                   2.1.0                                   npm                          
fs-minipass                                                                   3.0.3                                   npm        (+1 duplicate)    
fuse-overlayfs                                                                1.13-1                                  deb                          
fuse3                                                                         3.14.0-5build1                          deb                          
gcc-14-base                                                                   14.2.0-4ubuntu2~24.04.1                 deb                          
gh                                                                            2.45.0-1ubuntu0.3                       deb                          
git                                                                           1:2.43.0-1ubuntu7.3                     deb                          
git-man                                                                       1:2.43.0-1ubuntu7.3                     deb                          
github.com/Azure/azure-sdk-for-go/sdk/azcore                                  v1.18.2                                 go-module                    
github.com/Azure/azure-sdk-for-go/sdk/internal                                v1.11.2                                 go-module                    
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob                          v1.5.0                                  go-module                    
github.com/Graylog2/go-gelf                                                   v0.0.0-20191017102106-1550ee647df0      go-module                    
github.com/Microsoft/hcsshim                                                  v0.14.0-rc.1                            go-module  (+2 duplicates)   
github.com/ProtonMail/go-crypto                                               v1.3.0                                  go-module                    
github.com/RackSec/srslog                                                     v0.0.0-20180709174129-a4725f04ec91      go-module                    
github.com/agext/levenshtein                                                  v1.2.3                                  go-module                    
github.com/anchore/go-struct-converter                                        v0.0.0-20221118182256-c68fdcfa2092      go-module                    
github.com/armon/circbuf                                                      v0.0.0-20190214190532-5111143e8da2      go-module                    
github.com/armon/go-metrics                                                   v0.4.1                                  go-module                    
github.com/aws/aws-sdk-go-v2                                                  v1.39.4                                 go-module                    
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream                         v1.7.2                                  go-module                    
github.com/aws/aws-sdk-go-v2/config                                           v1.31.15                                go-module                    
github.com/aws/aws-sdk-go-v2/credentials                                      v1.18.19                                go-module                    
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                 v1.18.11                                go-module                    
github.com/aws/aws-sdk-go-v2/internal/configsources                           v1.4.11                                 go-module                    
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                            v2.7.11                                 go-module                    
github.com/aws/aws-sdk-go-v2/internal/ini                                     v1.8.4                                  go-module                    
github.com/aws/aws-sdk-go-v2/service/cloudwatchlogs                           v1.58.5                                 go-module                    
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding                 v1.13.2                                 go-module                    
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                   v1.13.11                                go-module                    
github.com/aws/aws-sdk-go-v2/service/sso                                      v1.29.8                                 go-module                    
github.com/aws/aws-sdk-go-v2/service/ssooidc                                  v1.35.3                                 go-module                    
github.com/aws/aws-sdk-go-v2/service/sts                                      v1.38.9                                 go-module                    
github.com/aws/smithy-go                                                      v1.23.1                                 go-module                    
github.com/beorn7/perks                                                       v1.0.1                                  go-module  (+3 duplicates)   
github.com/bits-and-blooms/bitset                                             v1.13.0                                 go-module                    
github.com/cenkalti/backoff/v4                                                v4.3.0                                  go-module                    
github.com/cenkalti/backoff/v5                                                v5.0.3                                  go-module  (+1 duplicate)    
github.com/cespare/xxhash/v2                                                  v2.3.0                                  go-module  (+3 duplicates)   
github.com/checkpoint-restore/checkpointctl                                   v1.4.0                                  go-module                    
github.com/checkpoint-restore/go-criu/v6                                      v6.3.0                                  go-module  (+1 duplicate)    
github.com/checkpoint-restore/go-criu/v7                                      v7.2.0                                  go-module                    
github.com/cilium/ebpf                                                        v0.16.0                                 go-module  (+2 duplicates)   
github.com/cilium/ebpf                                                        v0.17.3                                 go-module  (+2 duplicates)   
github.com/cli/cli/v2/cmd/gh                                                  (devel)                                 go-module                    
github.com/cloudflare/cfssl                                                   v1.6.4                                  go-module                    
github.com/cloudflare/circl                                                   v1.6.1                                  go-module                    
github.com/container-storage-interface/spec                                   v1.5.0                                  go-module                    
github.com/containerd/accelerated-container-image                             v1.3.0                                  go-module                    
github.com/containerd/btrfs/v2                                                v2.0.0                                  go-module                    
github.com/containerd/cgroups/v3                                              v3.1.0                                  go-module                    
github.com/containerd/cgroups/v3                                              v3.1.2                                  go-module  (+2 duplicates)   
github.com/containerd/console                                                 v1.0.5                                  go-module  (+5 duplicates)   
github.com/containerd/containerd/api                                          v1.10.0                                 go-module  (+4 duplicates)   
github.com/containerd/containerd/v2                                           v2.2.0                                  go-module                    
github.com/containerd/containerd/v2                                           v2.2.1                                  go-module  (+3 duplicates)   
github.com/containerd/continuity                                              v0.4.5                                  go-module  (+4 duplicates)   
github.com/containerd/errdefs                                                 v1.0.0                                  go-module  (+5 duplicates)   
github.com/containerd/errdefs/pkg                                             v0.3.0                                  go-module  (+5 duplicates)   
github.com/containerd/fifo                                                    v1.1.0                                  go-module  (+4 duplicates)   
github.com/containerd/go-cni                                                  v1.1.13                                 go-module  (+2 duplicates)   
github.com/containerd/go-runc                                                 v1.1.0                                  go-module  (+3 duplicates)   
github.com/containerd/imgcrypt/v2                                             v2.0.1                                  go-module                    
github.com/containerd/log                                                     v0.1.0                                  go-module  (+5 duplicates)   
github.com/containerd/nri                                                     v0.11.0                                 go-module                    
github.com/containerd/otelttrpc                                               v0.1.0                                  go-module                    
github.com/containerd/platforms                                               v1.0.0-rc.1                             go-module                    
github.com/containerd/platforms                                               v1.0.0-rc.2                             go-module  (+3 duplicates)   
github.com/containerd/plugin                                                  v1.0.0                                  go-module  (+4 duplicates)   
github.com/containerd/stargz-snapshotter/estargz                              v0.17.0                                 go-module                    
github.com/containerd/ttrpc                                                   v1.2.7                                  go-module  (+4 duplicates)   
github.com/containerd/typeurl/v2                                              v2.2.3                                  go-module  (+4 duplicates)   
github.com/containerd/zfs/v2                                                  v2.0.0                                  go-module                    
github.com/containernetworking/cni                                            v1.3.0                                  go-module  (+2 duplicates)   
github.com/containernetworking/plugins                                        v1.9.0                                  go-module  (+1 duplicate)    
github.com/containers/ocicrypt                                                v1.2.1                                  go-module                    
github.com/coreos/go-semver                                                   v0.3.1                                  go-module                    
github.com/coreos/go-systemd/v22                                              v22.5.0                                 go-module  (+1 duplicate)    
github.com/coreos/go-systemd/v22                                              v22.6.0                                 go-module  (+3 duplicates)   
github.com/cpuguy83/go-md2man/v2                                              v2.0.5                                  go-module  (+4 duplicates)   
github.com/cyphar/filepath-securejoin                                         v0.5.1                                  go-module  (+2 duplicates)   
github.com/cyphar/filepath-securejoin                                         v0.5.2                                  go-module  (+3 duplicates)   
github.com/cyphar/filepath-securejoin                                         v0.6.0                                  go-module                    
github.com/davecgh/go-spew                                                    v1.1.1                                  go-module                    
github.com/davecgh/go-spew                                                    v1.1.2-0.20180830191138-d8f796af33cc    go-module                    
github.com/deckarep/golang-set/v2                                             v2.8.0                                  go-module                    
github.com/dimchansky/utfbom                                                  v1.1.1                                  go-module                    
github.com/distribution/reference                                             v0.6.0                                  go-module  (+4 duplicates)   
github.com/docker/cli                                                         v29.0.4+incompatible                    go-module                    
github.com/docker/cli-docs-tool                                               v0.10.0                                 go-module                    
github.com/docker/cli/cmd/docker                                              v29.1.3                                 go-module                    
github.com/docker/cli/cmd/docker-trust                                        v29.1.3                                 go-module                    
github.com/docker/distribution                                                v2.8.3+incompatible                     go-module  (+1 duplicate)    
github.com/docker/docker-credential-helpers                                   v0.9.4                                  go-module                    
github.com/docker/go                                                          v1.5.1-1.0.20160303222718-d30aec9fd63c  go-module                    
github.com/docker/go-connections                                              v0.6.0                                  go-module  (+1 duplicate)    
